ActCode,ActDescription,ShortName,Active
IPC,"Indian Penal Code, 1860",IPC,1
BNS,"Bharatiya Nyaya Sanhita, 2023",BNS,1
NDPS,"Narcotic Drugs and Psychotropic Substances Act, 1985",NDPS,1
POCSO,"Protection of Children from Sexual Offences Act, 2012",POCSO,1
ARMS,"Arms Act, 1959",Arms Act,1
MV,"Motor Vehicles Act, 1988",MV Act,1
IT,"Information Technology Act, 2000",IT Act,1
DOWRY,"Dowry Prohibition Act, 1961",Dowry Act,1
EXCISE,"Karnataka Excise Act, 1965",Excise Act,1
SCST,"SC/ST (Prevention of Atrocities) Act, 1989",SC/ST Act,1
