CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,POCSO,8,1,1
2,DOWRY,4,1,1
2,POCSO,4,2,2
2,IPC,420,3,3
3,EXCISE,32,1,1
3,BNS,305,2,2
4,IPC,302,1,1
4,IPC,392,2,2
5,IPC,324,1,1
5,BNS,305,2,2
6,POCSO,8,1,1
6,IPC,324,2,2
6,IT,66C,3,3
7,IPC,324,1,1
8,BNS,305,1,1
8,IPC,363,2,2
9,IPC,447,1,1
9,IPC,354,2,2
9,IPC,392,3,3
10,DOWRY,3,1,1
10,BNS,318,2,2
11,BNS,109,1,1
12,IPC,376,1,1
12,MV,185,2,2
13,IPC,363,1,1
13,IPC,307,2,2
13,POCSO,4,3,3
14,BNS,305,1,1
14,IPC,354,2,2
14,BNS,109,3,3
15,IPC,392,1,1
16,IPC,302,1,1
16,IPC,392,2,2
16,BNS,64,3,3
17,BNS,318,1,1
17,NDPS,20,2,2
17,IT,66C,3,3
18,DOWRY,4,1,1
18,IPC,354,2,2
18,IPC,420,3,3
19,DOWRY,4,1,1
19,BNS,305,2,2
20,IPC,376,1,1
20,IPC,302,2,2
21,IT,66D,1,1
22,IPC,420,1,1
22,DOWRY,3,2,2
23,POCSO,4,1,1
23,MV,185,2,2
24,ARMS,27,1,1
24,BNS,103,2,2
25,IPC,324,1,1
26,IPC,302,1,1
26,MV,185,2,2
27,MV,184,1,1
27,BNS,64,2,2
27,NDPS,20,3,3
28,SCST,3(1),1,1
28,IPC,307,2,2
28,BNS,318,3,3
29,IPC,307,1,1
30,IPC,324,1,1
31,IPC,420,1,1
31,NDPS,21,2,2
31,IPC,363,3,3
32,IPC,498A,1,1
32,IPC,354,2,2
32,EXCISE,32,3,3
33,NDPS,21,1,1
33,MV,185,2,2
33,IPC,447,3,3
34,BNS,103,1,1
35,IT,66D,1,1
35,IPC,498A,2,2
36,EXCISE,32,1,1
36,IT,66D,2,2
36,NDPS,20,3,3
37,IPC,354,1,1
37,DOWRY,3,2,2
37,POCSO,4,3,3
38,NDPS,20,1,1
39,IPC,447,1,1
39,IPC,307,2,2
39,SCST,3(1),3,3
40,BNS,103,1,1
40,POCSO,4,2,2
40,IPC,420,3,3
41,IPC,302,1,1
41,IPC,324,2,2
41,BNS,64,3,3
42,IPC,363,1,1
42,BNS,109,2,2
