ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,3,2,2026-06-20,1,2,27,353,2,4,1,0
2,5,1,2026-07-10,1,14,280,2379,5,10,1,0
3,5,1,2026-07-16,1,14,280,2379,5,11,1,0
4,6,2,2024-10-08,1,9,198,1578,40,12,1,1
5,8,1,2025-08-24,1,4,93,7102,47,16,1,0
6,15,1,2024-09-22,1,4,83,3537,30,23,1,1
7,15,2,2024-11-11,1,4,83,3537,30,22,1,0
8,18,1,2025-05-22,1,7,152,5186,7,27,1,1
9,21,2,2024-04-13,1,14,293,437,42,33,1,0
10,21,2,2024-04-25,1,14,293,437,42,34,1,0
11,22,2,2024-08-19,1,4,84,5562,7,35,1,0
12,23,1,2025-10-03,1,1,24,5638,39,37,1,0
13,24,2,2024-02-27,1,10,206,7340,10,38,1,0
14,26,2,2025-03-25,1,2,49,7674,29,41,1,0
15,27,2,2026-04-20,1,6,130,428,10,44,1,0
16,29,2,2026-02-12,1,3,60,7976,47,48,1,0
17,29,1,2026-01-18,1,3,60,7976,47,49,1,0
18,31,2,2024-03-04,1,9,190,7367,45,51,1,0
19,31,2,2024-03-15,1,9,190,7367,45,53,1,0
20,32,2,2024-06-24,1,7,141,671,29,55,1,0
21,34,1,2024-10-10,1,9,196,5299,32,58,1,0
22,35,2,2026-02-20,1,14,277,7468,6,62,1,0
23,39,1,2024-06-07,1,15,315,6662,18,69,1,0
24,42,2,2025-10-27,1,5,94,2727,36,72,1,0
25,44,1,2025-05-19,1,8,164,5462,33,77,1,0
26,44,2,2025-05-18,1,8,164,5462,33,76,1,0
27,47,2,2024-09-21,1,11,223,3674,2,80,1,0
28,51,2,2026-04-27,1,16,320,7268,2,83,1,0
29,54,1,2025-11-02,1,6,129,5857,37,89,1,0
30,56,1,2025-09-18,1,14,277,6576,27,90,1,0
31,59,2,2025-09-26,1,16,327,5205,33,94,1,0
32,59,1,2025-08-12,1,16,327,5205,33,92,1,0
33,61,1,2026-07-29,1,2,35,3666,12,96,1,0
34,65,1,2025-01-07,1,13,266,5956,30,101,1,0
35,69,1,2024-07-11,1,3,58,6502,17,106,1,0
36,70,1,2025-01-23,1,7,155,2710,14,108,1,0
37,72,1,2024-07-23,1,3,59,4939,30,110,1,0
38,73,1,2024-06-27,1,9,184,5569,36,111,1,0
39,73,1,2024-06-20,1,9,184,5569,36,112,1,0
40,78,1,2025-02-07,1,6,129,3096,48,119,1,0
41,80,1,2026-08-10,1,14,276,3462,28,124,1,0
42,80,1,2026-07-15,1,14,276,3462,28,125,1,0
43,82,2,2025-01-09,1,16,320,49,18,129,1,0
44,87,1,2026-05-14,1,2,43,7352,26,137,1,0
45,88,1,2026-07-09,1,1,23,4486,23,139,1,0
46,88,1,2026-06-05,1,1,23,4486,23,138,1,0
47,94,1,2024-12-22,1,2,36,2821,11,155,1,0
48,95,2,2025-01-27,1,7,158,1168,14,156,1,0
49,96,2,2025-06-29,1,6,127,2903,6,157,1,0
50,96,2,2025-07-01,1,6,127,2903,6,159,1,0
51,101,1,2024-06-13,1,5,96,5267,5,166,1,0
52,110,2,2025-07-29,1,13,257,2376,47,178,1,0
53,115,1,2025-07-21,1,10,210,2448,13,188,1,0
54,117,2,2025-08-24,1,4,87,2659,21,193,1,0
55,122,2,2026-05-08,1,10,205,5493,10,200,1,0
56,123,1,2026-03-20,1,7,157,1292,47,201,1,0
57,124,1,2025-12-14,1,2,37,2365,10,205,1,0
58,126,1,2025-05-18,1,5,112,3787,39,210,1,0
59,127,2,2025-07-25,1,15,314,4992,45,212,1,0
60,131,1,2025-10-04,1,4,83,1491,39,219,1,0
61,134,1,2024-09-11,1,14,280,4605,2,222,1,0
62,135,1,2025-10-17,1,2,47,6379,34,223,1,0
63,141,1,2024-03-22,1,7,151,3249,20,231,1,0
64,147,1,2025-02-02,1,11,221,3165,4,239,1,0
65,147,1,2025-02-10,1,11,221,3165,4,240,1,0
66,150,1,2026-04-23,1,15,311,787,16,243,1,0
67,151,1,2025-12-11,1,1,6,3499,19,244,1,0
68,151,2,2025-11-20,1,1,6,3499,19,246,1,0
69,153,2,2025-10-21,1,9,183,4232,11,251,1,0
70,155,1,2025-11-25,1,5,104,6011,16,253,1,0
71,157,2,2026-02-05,1,10,215,1152,30,255,1,0
72,157,1,2026-01-02,1,10,215,1152,30,256,1,0
73,159,1,2024-09-29,1,8,165,1355,26,257,1,1
74,162,2,2025-04-28,1,1,21,4039,33,260,1,0
75,165,2,2024-11-02,1,2,28,7528,28,267,1,0
76,168,2,2026-07-11,1,8,163,3011,22,275,1,0
77,176,2,2024-10-14,1,3,51,3596,24,285,1,0
78,178,2,2024-02-17,1,7,140,5046,41,291,1,0
79,184,2,2025-08-03,1,13,272,1750,29,296,1,0
80,185,1,2025-12-19,1,13,264,1000,13,299,1,0
81,185,2,2025-12-25,1,13,264,1000,13,300,1,0
82,187,1,2026-05-31,1,3,52,5320,6,304,1,0
83,190,2,2024-07-09,1,4,69,3647,19,308,1,0
84,190,2,2024-06-18,1,4,69,3647,19,309,1,0
85,194,2,2026-05-20,1,9,183,4674,29,317,1,1
86,202,1,2024-11-10,1,7,151,7317,47,331,1,0
87,202,2,2024-12-02,1,7,151,7317,47,332,1,0
88,204,1,2025-02-04,1,5,113,6395,6,336,1,0
89,204,2,2025-02-03,1,5,113,6395,6,335,1,0
90,209,1,2026-08-12,1,8,172,247,47,343,1,0
