CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-08-20 07:47:00,B,7546
2,5,2026-09-03 00:37:00,A,2379
3,8,2025-09-09 02:17:00,A,7102
4,9,2024-06-08 11:15:00,A,1188
5,10,2025-08-30 09:31:00,B,3304
6,11,2024-08-27 02:33:00,B,6691
7,15,2024-11-14 16:30:00,A,3537
8,16,2025-10-04 10:13:00,B,3210
9,17,2024-03-14 22:50:00,C,1327
10,18,2025-06-26 01:48:00,A,5186
11,22,2024-09-24 11:42:00,A,5562
12,24,2024-03-10 06:53:00,A,7340
13,26,2025-02-27 12:40:00,A,7674
14,29,2026-02-19 02:51:00,A,7976
15,31,2024-05-27 16:52:00,A,7367
16,32,2024-08-14 14:31:00,A,671
17,33,2024-08-18 23:56:00,B,1816
18,34,2024-10-06 11:21:00,A,5299
19,39,2024-07-16 15:38:00,A,6662
20,40,2024-09-11 17:15:00,C,2036
21,42,2025-10-03 22:58:00,A,2727
22,46,2025-11-21 19:22:00,A,1317
23,47,2025-01-07 01:38:00,A,3674
24,48,2026-06-09 23:12:00,B,1091
25,51,2026-04-19 00:56:00,A,7268
26,54,2026-02-12 21:04:00,A,5857
27,55,2025-06-26 07:56:00,A,4338
28,56,2025-11-13 01:06:00,A,6576
29,59,2025-08-19 17:45:00,A,5205
30,60,2025-07-12 09:24:00,C,3738
31,61,2026-10-07 00:40:00,A,3666
32,69,2024-09-15 15:52:00,A,6502
33,71,2025-07-26 15:04:00,A,2776
34,73,2024-10-15 06:50:00,A,5569
35,77,2025-03-18 10:41:00,C,1714
36,78,2025-02-02 00:13:00,A,3096
37,81,2026-01-06 20:23:00,B,5419
38,83,2024-12-03 17:05:00,B,3643
39,87,2026-05-14 18:27:00,A,7352
40,88,2026-08-27 14:13:00,A,4486
41,101,2024-05-23 14:19:00,A,5267
42,104,2024-03-16 16:02:00,B,5335
43,105,2024-04-10 04:29:00,C,7561
44,110,2025-07-24 15:30:00,A,2376
45,115,2025-07-16 16:29:00,A,2448
46,117,2025-10-13 05:45:00,A,2659
47,118,2024-07-03 07:21:00,C,4313
48,124,2025-12-23 15:09:00,A,2365
49,127,2025-10-16 21:08:00,A,4992
50,131,2025-10-02 05:02:00,A,1491
51,133,2025-01-08 18:38:00,C,3860
52,134,2024-09-19 00:05:00,A,4605
53,135,2025-12-07 00:45:00,A,6379
54,138,2024-05-05 22:16:00,C,2686
55,141,2024-07-06 10:22:00,A,3249
56,142,2024-08-20 19:18:00,A,2783
57,143,2024-04-19 20:21:00,B,81
58,148,2025-06-26 21:26:00,C,4432
59,149,2024-09-20 11:12:00,B,538
60,150,2026-08-07 01:35:00,A,787
61,152,2025-07-11 11:00:00,C,1786
62,153,2025-11-20 13:52:00,A,4232
63,155,2026-01-15 11:18:00,A,6011
64,157,2026-03-26 13:01:00,A,1152
65,158,2024-02-13 14:20:00,A,1115
66,160,2024-02-24 17:56:00,A,3168
67,163,2025-08-30 08:36:00,C,4575
68,165,2024-12-21 20:08:00,A,7528
69,167,2025-05-02 00:19:00,B,4154
70,169,2025-08-14 13:34:00,C,5768
71,172,2025-08-03 04:30:00,B,7376
72,173,2025-03-18 17:36:00,C,4351
73,174,2026-07-09 14:29:00,C,3138
74,176,2024-11-28 21:12:00,A,3596
75,178,2024-04-07 04:15:00,A,5046
76,180,2024-05-01 11:07:00,C,2625
77,191,2025-03-16 18:00:00,B,5407
78,192,2025-10-13 17:15:00,B,433
79,194,2026-08-23 22:02:00,A,4674
80,195,2024-09-11 05:50:00,C,3428
81,202,2024-12-23 20:33:00,A,7317
82,204,2025-03-03 01:15:00,A,6395
83,207,2026-01-19 04:24:00,B,6782
84,214,2024-06-15 12:23:00,A,3761
85,215,2024-08-28 20:50:00,A,7099
86,217,2025-06-10 09:59:00,A,6825
87,218,2026-09-04 07:04:00,A,7373
88,219,2024-11-12 12:59:00,B,3919
89,221,2025-07-12 10:03:00,B,1242
90,228,2024-04-08 10:17:00,A,1770
91,233,2024-12-10 21:18:00,B,6128
92,235,2026-08-01 13:13:00,C,1247
93,236,2026-02-19 01:15:00,A,2099
94,237,2026-01-23 11:17:00,C,3673
95,242,2025-05-23 10:55:00,A,7698
96,251,2026-09-30 19:05:00,A,4615
97,256,2025-03-28 20:56:00,C,3206
98,258,2024-12-24 12:15:00,A,599
99,259,2026-03-25 00:41:00,B,521
100,260,2026-07-03 10:26:00,A,6432
101,265,2024-04-16 04:17:00,A,4159
102,266,2024-03-12 07:25:00,B,1711
103,268,2025-04-09 20:54:00,A,6035
104,269,2025-09-08 14:43:00,A,801
105,270,2025-01-15 15:05:00,A,3937
106,273,2026-04-23 02:53:00,A,1304
107,275,2024-12-16 12:44:00,C,3053
108,278,2025-05-25 05:27:00,B,1421
109,279,2025-09-02 19:05:00,B,1878
110,282,2024-10-08 08:31:00,B,2095
111,289,2026-08-21 12:41:00,A,1162
112,290,2026-05-17 07:03:00,B,6995
113,295,2026-05-30 10:41:00,C,7211
114,296,2026-03-24 08:36:00,A,4036
115,299,2025-07-03 22:49:00,A,7915
116,300,2026-05-20 04:00:00,C,6576
117,301,2026-04-15 09:29:00,B,6531
118,302,2026-06-17 19:13:00,A,4870
119,303,2026-01-16 10:36:00,A,2542
120,308,2026-01-07 06:51:00,A,4395
121,310,2024-12-17 05:51:00,B,944
122,314,2025-05-09 08:18:00,A,1341
123,319,2024-03-13 15:56:00,C,6777
124,320,2025-06-14 05:04:00,C,273
125,321,2025-07-07 18:42:00,B,6913
126,322,2024-11-02 04:27:00,B,682
127,326,2026-04-23 23:21:00,A,4463
128,332,2024-03-17 22:31:00,C,722
129,335,2025-02-04 19:10:00,A,6931
130,337,2024-06-14 16:14:00,B,1312
131,343,2024-07-03 18:49:00,B,4829
132,346,2026-10-01 13:30:00,A,4990
133,348,2024-06-21 11:22:00,A,7594
134,350,2025-01-04 04:53:00,B,983
135,352,2025-09-12 07:46:00,A,6899
136,353,2025-11-23 07:37:00,A,5332
137,354,2024-05-19 10:21:00,A,6538
138,355,2025-09-29 06:24:00,C,3926
139,358,2025-05-20 20:14:00,A,6138
140,361,2025-05-29 13:24:00,C,3171
141,363,2025-03-08 11:30:00,A,6990
142,365,2024-07-13 11:33:00,A,5842
143,368,2025-11-05 10:01:00,A,63
144,371,2024-05-09 06:17:00,A,193
145,373,2026-01-16 08:06:00,A,5638
146,374,2026-01-26 20:56:00,C,5620
147,377,2026-06-05 09:10:00,C,4495
148,380,2025-04-29 23:03:00,C,3312
149,382,2026-01-28 23:43:00,B,7109
150,384,2025-06-29 15:54:00,A,6581
151,386,2025-04-30 19:24:00,A,7089
152,389,2024-03-02 12:13:00,B,986
153,391,2025-04-26 14:11:00,C,2164
154,392,2026-05-07 06:54:00,A,2192
155,393,2025-09-05 03:53:00,A,2665
156,394,2024-09-05 05:38:00,A,3910
157,399,2025-06-04 06:16:00,A,3249
158,401,2025-11-18 23:39:00,B,4658
159,403,2024-07-08 08:36:00,A,4873
160,406,2024-07-10 19:19:00,C,3947
161,407,2026-09-15 12:08:00,A,7872
162,408,2024-08-09 07:51:00,C,2368
163,409,2024-12-19 12:46:00,A,2511
164,412,2024-06-01 19:38:00,B,3206
165,415,2025-04-18 09:24:00,C,5838
166,418,2026-06-13 15:07:00,A,2383
167,420,2025-12-07 17:30:00,B,3715
168,430,2024-04-30 12:24:00,A,953
169,431,2024-03-07 17:26:00,B,7168
170,434,2025-11-26 19:11:00,A,5181
171,436,2025-03-20 10:48:00,C,4922
172,440,2025-12-02 02:01:00,C,7026
173,443,2025-01-24 00:36:00,A,747
174,451,2025-08-11 23:49:00,A,6279
175,452,2025-07-20 00:44:00,B,7808
176,454,2025-09-27 10:29:00,A,7438
177,455,2026-03-30 04:20:00,B,5565
178,462,2024-09-18 02:52:00,C,5523
179,464,2025-11-28 08:12:00,A,1684
180,466,2024-05-28 14:47:00,A,2984
181,467,2024-07-07 02:35:00,A,5565
182,468,2026-02-10 20:20:00,A,7689
183,469,2024-04-29 23:56:00,B,5153
184,470,2025-05-20 02:22:00,A,2782
185,472,2025-07-11 21:22:00,A,4240
186,473,2025-04-07 08:14:00,C,7179
187,476,2025-03-07 16:45:00,A,6849
188,477,2025-10-27 20:47:00,A,5809
